"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Australia",1981,-4.056,70.164,15.039,5.783,26963.35,4.127,9.488,-0.648,"Advanced Economies",2.9459406197996,2.45546268936377,4.94403331785231,2.1250630526256
"Austria",1981,-4.338,28.367,7.556,2.2,31302.06,-0.099,6.807,0.482,"Advanced Economies",2.61645098516846,1.5296604950904,4.03868421352506,-0.098838992609087
"Belgium",1981,-4.094,89.686,9.863,10,29428.68,-0.279,7.626,0.970000000000001,"Advanced Economies",2.7289819761786,2.99822295029797,5.18949294087981,-0.275501602448516
"Canada",1981,-4.18,46.077,24.785,7.617,30984.24,3.503,12.462,2.279,"Advanced Economies",3.21743709401725,2.72781114137414,4.5235788227702,1.96654430864343
"Cyprus",1981,-7.664,121.72,0.515,7.7,15743.28,3.051,10.745,-2.773,"Advanced Economies",3.06974605656179,2.73855765013714,5.4948873790869,1.83445187564447
"Denmark",1981,-3.03,73.107,5.124,7.133,31730.72,-0.658,11.718,0.379,"Advanced Economies",3.15608902688853,2.66275681180862,4.98511807457591,-0.617919597577233
"Finland",1981,-0.909,11.544,4.788,5.743,25625.23,1.294,12,0.398,"Advanced Economies",3.17978543769988,2.44862402474937,3.1411837214077,1.07478748336432
"France",1981,-0.771,22.04,54.029,7.438,28902.53,1.069,13.333,0.276,"Advanced Economies",3.28479270864018,2.70423769731731,3.78652042374146,0.929332228668819
"Germany",1981,-0.684,21.354,76.988,4.831,30397.04,0.11,6.324,0.877,"Advanced Economies",2.54369238437253,2.27874442051547,3.75493405964177,0.109779365920543
"Greece",1981,-4.547,26.681,9.701,4,23405.36,-1.556,24.463,-0.41,"Advanced Economies",3.89072644494915,2.0947125472611,3.97744988218715,-1.2254303305253
"Hong Kong SAR, China",1981,-2.492,26.897,5.18,3.9,18076.87,9.193,9.479,5.035,"Advanced Economies",2.94499683544509,2.07016923992771,3.98550732484518,2.91453465084416
"Iceland",1981,-4.087,29.563,0.229,0.365,31098.78,4.265,50.864,-7.684,"Advanced Economies",4.62239920228419,0.357346007758635,4.07995668802023,2.1570580281349
"Ireland",1981,-12.631,106.799,3.47,11.8,20774.55,2.512,20.243,1.898,"Advanced Economies",3.70156576266504,3.16303735678811,5.36411766126363,1.65167863709504
"Italy",1981,-3.552,76.535,56.479,7.649,29401.77,-1.234,19.51,-2.29,"Advanced Economies",3.66473047747532,2.73196794885667,5.03093800992194,-1.03755874848814
"Japan",1981,0.382,52.815,117.623,2.208,23073.54,4.261,4.936,-2.872,"Advanced Economies",2.29980904240259,1.53296593930656,4.66003203401932,2.15614451863309
"Korea, Rep.",1981,-8.895,137.888,38.723,4.5,5793.32,7.246,21.353,-7.344,"Advanced Economies",3.75488728017976,2.20934770861533,5.61960209056263,2.67832461586354
"Luxembourg",1981,-2.764,79.434,0.365,1.015,44653.76,0.798,8.073,1.773,"Advanced Economies",2.78548638073055,0.891940513966305,5.06811328754507,0.731105756495395
"Malta",1981,3.348,49.805,0.318,8.692,15966.69,1.6,11.61,8.918,"Advanced Economies",3.14686354562283,2.85884296718215,4.60136333051103,1.24898332790488
"Netherlands",1981,2.356,46.944,14.209,4.583,30436.46,-0.514,6.8,5.809,"Advanced Economies",2.61543304000393,2.22719648844333,4.54221600677537,-0.493698616027663
"New Zealand",1981,-4.924,29.678,3.125,3.911,25011.76,2.961,15.451,-1.628,"Advanced Economies",3.43186645884969,2.07289775962892,4.08383692851095,1.80604089336066
"Norway",1981,3.174,43.395,4.107,2.001,33835.65,1.598,13.643,2.731,"Advanced Economies",3.3077141889709,1.44408259935246,4.46362413920312,1.24792285339152
"Portugal",1981,-14.428,41.531,9.851,8.29,16923.35,3.523,21.152,15.29,"Advanced Economies",3.74543995167868,2.81181519305879,4.41973222771732,1.97201993765606
"Puerto Rico",1981,4.966,45.297,3.229,19.8,16842.61,1.07,9.47,7.806,"Advanced Economies",2.94405216444511,3.67946619918214,4.5065098065808,0.930015203670293
"Singapore",1981,-10.733,82.211,2.533,5.925,23645.74,10.816,8.189,-0.352,"Advanced Economies",2.7996463149635,2.47937434446846,5.10247328121174,3.07630389246718
"Spain",1981,-2.499,20.017,38.014,13.755,20769.3,-0.408,14.549,-1.029,"Advanced Economies",3.37184842118254,3.31586831653082,3.69035244878047,-0.397452848325021
"Sweden",1981,-2.167,39.851,8.323,3.417,28481.51,4.54,12.108,-5.344,"Advanced Economies",3.18871450419593,1.94266510018187,4.37845206302449,2.21798837755157
"Switzerland",1981,2.364,36.374,6.335,0.19,48913.14,1.631,6.486,2.464,"Advanced Economies",2.56868363485969,0.188875014576307,4.28719031551181,1.26529968995357
"Taiwan, China",1981,-21.114,40.764,18.194,1.36,8705.05,7.1,10.863,-8.16,"Advanced Economies",3.08062155754293,1.11451051536296,4.40109693358725,2.65816480695414
"United Kingdom",1981,1.693,44.725,56.358,9.65,23742.18,-0.687,12.189,-4.66,"Advanced Economies",3.19535954387761,2.96277898488097,4.49380476618311,-0.64198403322096
"United States",1981,0.157,105.495,229.916,7.617,32366.11,2.537,10.378,-3.124,"Advanced Economies",3.03514852159294,2.72781114137414,5.35183320167074,1.66088562097847
"Australia",1982,-4.105,56.104,15.289,7.183,26539.59,0.063,11.352,1.864,"Advanced Economies",3.12447547042638,2.6696748462963,4.72043370644393,0.062958399757367
"Austria",1982,1.003,32.7,7.565,3.1,31859.24,1.908,5.44,-1.367,"Advanced Economies",2.39526893270308,1.84960367947318,4.1807559765102,1.40171820558729
"Belgium",1982,-2.898,99.634,9.855,11.5,29630.17,0.595,8.723,1.097,"Advanced Economies",2.86237987233685,3.13737923731665,5.29467583541871,0.564532708023317
"Canada",1982,0.485,51.707,25.083,11.1,29646.31,-3.166,10.803,-1.659,"Advanced Economies",3.07510636002309,3.10211519705688,4.63883384271273,-1.86967284869375
"Cyprus",1982,-7.683,68.232,0.521,2.8,16545.41,6.279,6.433,-4.312,"Advanced Economies",2.5605752114841,1.75322890111027,4.91611453795614,2.53663945472169
"Denmark",1982,-3.739,12.422,5.119,7.602,32928.98,3.678,10.146,-1.572,"Advanced Economies",3.0126464883694,2.72585672454884,3.21423250792016,2.01350469758543
"Finland",1982,-1.738,13.851,4.812,6.076,26282.6,3.087,9.3,-2.7,"Advanced Economies",2.92603963563644,2.50419780188174,3.32280517301518,1.84560504551024
"France",1982,-2.062,25.359,54.335,8.069,29459.6,2.505,11.978,-1.355,"Advanced Economies",3.17795677192809,2.78499454000456,3.9266694054723,1.649086500622
"Germany",1982,0.866,8.366,76.933,6.734,30179,-0.788,5.256,-1.068,"Advanced Economies",2.36144663027057,2.60578453444592,2.82087600703108,-0.723270381921248
"Greece",1982,-3.442,29.31,9.758,5.8,23005.53,-1.13,21.125,-3.338,"Advanced Economies",3.7441640881194,2.45835522547041,4.0713668186418,-0.970377330971082
"Hong Kong SAR, China",1982,-0.546,43.101,5.26,3.522,18315.78,2.886,11.016,1.537,"Advanced Economies",3.09454972311563,1.97174684004538,4.45682792738631,1.78176645799694
"Iceland",1982,-7.884,28.948,0.232,0.67,31378.16,2.154,51.019,0.155000000000001,"Advanced Economies",4.62544132439225,0.627916484501713,4.0589464982365,1.51045890796665
"Ireland",1982,-8.782,54.699,3.507,8.417,20863.28,1.495,17.189,-3.054,"Advanced Economies",3.538261886305,2.82691090368407,4.69507615450597,1.19198651228042
"Italy",1982,-2.388,8.802,56.524,8.288,29500.01,0.414,16.46,-3.05,"Advanced Economies",3.49500184336575,2.81157564636641,2.87133748014682,0.403002405807952
"Japan",1982,0.591,57.73,118.451,2.35,23663.71,3.28,2.749,-2.187,"Advanced Economies",1.73593578850929,1.59003459120083,4.74899915425578,1.90345771108775
"Korea, Rep.",1982,-7.187,67.256,39.326,4.133,6180.13,8.338,7.19,-14.163,"Advanced Economies",2.67063959961494,2.12647503644544,4.90170867834493,2.81754728843797
"Luxembourg",1982,-5.977,31.533,0.366,1.33,45080.9,1.039,9.357,1.284,"Advanced Economies",2.93211515257683,1.09661068744112,4.14443312786055,0.908683646126599
"Malta",1982,47.968,0,0.32,3.945,15887.34,0.757,5.817,-5.793,"Advanced Economies",2.46123953989472,2.08128604572351,0,0.698737774989554
"Netherlands",1982,3.194,52.518,14.286,6.525,29883.53,-1.283,5.9,-0.899999999999999,"Advanced Economies",2.47520521940257,2.57460898391581,4.65439377700067,-1.068043233901
"New Zealand",1982,-7.356,66.66,3.149,4.358,25532.36,2.878,16.126,0.675000000000001,"Advanced Economies",3.47454003489121,2.17807118072093,4.89280850994383,1.77914398850217
"Norway",1982,0.639,38.488,4.123,2.606,33788.2,0.235,11.341,-2.302,"Advanced Economies",3.12350975171442,1.68589485618018,4.34366240994508,0.232889070427235
"Portugal",1982,-10.621,121.878,9.912,7.457,17184.07,2.163,22.73,1.578,"Advanced Economies",3.8173163514471,2.70676619857793,5.49618455473839,1.51424218681412
"Puerto Rico",1982,-0.793,6.645,3.257,22.8,16189.93,-3.049,3.244,-6.226,"Advanced Economies",1.89290613081906,3.82038828717389,2.59262612738353,-1.83382877428891
"Singapore",1982,-8.489,35.076,2.646,6.281,24237.72,7.102,3.918,-4.271,"Advanced Economies",2.07463034251835,2.53695396367785,4.25086745278447,2.65844370548213
"Spain",1982,-2.38,25.141,38.217,15.77,20914.6,1.239,14.416,-0.132999999999999,"Advanced Economies",3.36268667453941,3.45226032498292,3.9180424516098,1.04070288614805
"Sweden",1982,-3.027,59.979,8.327,4.342,28863.85,1.397,8.578,-3.53,"Advanced Economies",2.84572834722754,2.17448651638585,4.78721116735603,1.13623709374542
"Switzerland",1982,3.35,24.012,6.373,0.428,47969.83,-1.34,5.671,-0.815,"Advanced Economies",2.43619711507355,0.415905494847692,3.87213419829053,-1.10260589847628
"Taiwan, China",1982,-1.883,22.187,18.516,2.14,8965.21,4.81,2.952,-7.911,"Advanced Economies",1.80315723773572,1.50454788473164,3.79316118452186,2.2744788364265
"United Kingdom",1982,0.734,43.003,56.291,10.725,24237.56,1.965,8.511,-3.678,"Advanced Economies",2.83794016310333,3.06789102246082,4.45455222321209,1.42787253046186
"United States",1982,-0.165,83.252,232.128,9.708,31479.64,-1.803,6.158,-4.22,"Advanced Economies",2.51742763363569,2.96873962854749,5.11505540157951,-1.351896741973
"Australia",1983,-3.146,7.731,15.483,9.967,26081.93,-0.474,10.039,-1.313,"Advanced Economies",3.00209612214121,2.99493395158158,2.74254221333162,-0.457836662926738
"Austria",1983,0.389,102.514,7.543,3.7,32849.42,2.804,3.335,-2.105,"Advanced Economies",1.91937527543075,2.01926065615496,5.32317034318955,1.75457339511653
"Belgium",1983,-0.584,110.287,9.858,10.742,29712.24,0.312,7.663,-1.06,"Advanced Economies",2.73378117844034,3.06946801978068,5.39625379262272,0.307147793445628
"Canada",1983,-0.838,57.211,25.336,12,30102.29,2.562,5.816,-4.987,"Advanced Economies",2.46107010110589,3.17978543769988,4.73996973962438,1.67001441126305
"Cyprus",1983,-8.835,37.511,0.528,3.3,17198.98,5.307,5.05,-1.383,"Advanced Economies",2.32219729885067,1.90927401401634,4.31795903005005,2.37093447590217
"Denmark",1983,-2.278,83.939,5.116,8.375,33800.86,2.594,6.835,-3.311,"Advanced Economies",2.62051254439275,2.82194362000757,5.12327300558888,1.68158710185466
"Finland",1983,-2.202,15.379,4.842,6.147,26937.69,3.122,8.4,-0.9,"Advanced Economies",2.82490328703885,2.51566290032948,3.42720547248676,1.85633612122715
"France",1983,-0.838,26.687,54.65,7.383,29653.25,1.241,9.46,-2.518,"Advanced Economies",2.94300148809087,2.69688243021119,3.97767457830418,1.04195839111786
"Germany",1983,0.666,54.699,76.664,8.099,30755.45,1.555,3.284,-1.972,"Advanced Economies",1.90462356380177,2.78867750689776,4.69507615450597,1.22488955926096
"Greece",1983,-3.786,33.591,9.821,7.9,22610.85,-1.078,20.179,-0.946000000000002,"Advanced Economies",3.6984030365116,2.76399185110002,4.20762684232964,-0.935466757382245
"Hong Kong SAR, China",1983,0.562,20.762,5.35,4.35,19090.75,6.015,9.923,-1.093,"Advanced Economies",2.99053180957635,2.17628041394893,3.72685103424108,2.49424284307126
"Iceland",1983,-1.881,30.751,0.236,1.022,30265.82,-2.151,84.275,33.256,"Advanced Economies",5.12726763980729,0.89684469251988,4.11933396552108,-1.50919492406263
"Ireland",1983,-5.602,44.67,3.531,7.326,20569.24,-0.729,10.397,-6.792,"Advanced Economies",3.03696922610229,2.68920270311535,4.49257457998901,-0.676262452617299
"Italy",1983,0.307,58.138,56.563,7.367,29824.37,1.169,14.7,-1.76,"Advanced Economies",3.3821495971315,2.69473261063805,4.75604063107479,0.99597513207003
"Japan",1983,1.637,63.511,119.271,2.658,24354.22,3.63,1.881,-0.868,"Advanced Economies",1.38911437833703,1.70436402321365,4.84442227269074,2.00083417508676
"Korea, Rep.",1983,-4.095,39.676,39.91,4.117,6904.25,13.376,3.421,-3.769,"Advanced Economies",1.94378798893687,2.12270543194335,4.37405242596523,3.28800361033754
"Luxembourg",1983,-8.504,55.165,0.366,1.615,45931.36,1.887,8.669,-0.687999999999999,"Advanced Economies",2.85621075746028,1.25690661096903,4.70355801563373,1.39192739113349
"Malta",1983,-14.219,54.429,0.332,12.5,15714.77,2.202,-0.925,-6.742,"Advanced Economies",-0.827334164992045,3.22047199846445,4.69012865766487,1.53048778935002
"Netherlands",1983,3.322,58.485,14.34,8.254,30294.98,1.758,2.9,-3,"Advanced Economies",1.7863401998169,2.80749461217468,4.7619905724827,1.32986005244991
"New Zealand",1983,-4.35,83.836,3.179,6.241,25259.17,-0.124,7.445,-8.681,"Advanced Economies",2.7051699877788,2.53064515004968,5.12204525776743,-0.123684408136839
"Norway",1983,3.757,35.405,4.134,3.426,35030.01,3.973,8.465,-2.876,"Advanced Economies",2.8325579584053,1.94518990011348,4.2601996133582,2.08814319866115
"Portugal",1983,-5.775,34.947,9.958,7.945,17270.74,0.972,25.106,2.376,"Advanced Economies",3.91665043564315,2.76962717687414,4.24718444693566,0.861435364492249
"Puerto Rico",1983,-1.248,38.015,3.286,23.4,16121.45,0.468,0.338,-2.906,"Advanced Economies",0.33187422984386,3.84633946152429,4.33130094796048,0.452408615163225
"Singapore",1983,-3.625,37.2,2.681,5.57,25971.62,8.554,1.037,-2.881,"Advanced Economies",0.907296042736562,2.41850458812599,4.30963654962673,2.84294546986513
"Spain",1983,-1.42,30.378,38.397,17.215,21160.93,1.652,12.174,-2.242,"Advanced Economies",3.19413229657313,3.53977079128597,4.107136640645,1.27622522507775
"Sweden",1983,-0.716,58.394,8.331,4.758,29446.98,2.058,8.907,0.329000000000001,"Advanced Economies",2.88312108153516,2.26383913341155,4.76043363413779,1.46927700019751
"Switzerland",1983,0.718,41.002,6.41,0.85,47981.32,0.605,2.95,-2.721,"Advanced Economies",1.80251535431984,0.771237433359808,4.40691669989396,0.57310763187148
"Taiwan, China",1983,1.754,53.152,18.791,2.71,9631.23,9.023,1.37,-1.582,"Advanced Economies",1.12042031644358,1.72251935027844,4.66639139359024,2.89598071045648
"United Kingdom",1983,0.408,41.817,56.316,11.475,25236.07,4.166,5.198,-3.313,"Advanced Economies",2.35054795490335,3.13521115715504,4.42659307181911,2.13420649445465
"United States",1983,-1.065,47.271,234.247,9.6,32624.93,4.584,3.16,-2.998,"Advanced Economies",1.86786415579396,2.95761198081578,4.54915604091454,2.22740964812025
"Australia",1984,-4.146,64.537,15.677,8.967,27394.22,6.346,3.96,-6.079,"Advanced Economies",2.08496518914671,2.88979313001506,4.86044590155691,2.54712268347549
"Austria",1984,-0.266,50.601,7.544,3.8,32954.86,0.332,5.665,2.33,"Advanced Economies",2.43515464086081,2.04502820486763,4.61721614386682,0.326184986427348
"Belgium",1984,-0.067,114.612,9.853,10.825,30460.48,2.466,6.348,-1.315,"Advanced Economies",2.54743395325862,3.07713211766598,5.43471872265556,1.63452930520174
"Canada",1984,-0.457,60.213,25.577,11.375,31577.79,5.899,4.339,-1.477,"Advanced Economies",2.17381299546552,3.12649170340752,4.79110440327656,2.47503809740473
"Cyprus",1984,-9.057,47.718,0.535,3.3,18466.83,8.837,5.992,0.942,"Advanced Economies",2.49046380692077,1.90927401401634,4.55856564091084,2.87528069771307
"Denmark",1984,-2.907,18.503,5.112,7.925,35240.73,4.172,6.343,-0.492,"Advanced Economies",2.54665559927514,2.76712647657799,3.61180948645729,2.13560599133344
"Finland",1984,-0.039,15.18,4.87,5.928,27642.58,3.213,7,-1.4,"Advanced Economies",2.64412076105863,2.47987348971519,3.41420910808306,1.88373400052275
"France",1984,-0.142,29.094,54.895,8.458,29967.84,1.514,7.674,-1.786,"Advanced Economies",2.73520357524995,2.83173639936315,4.0639743645435,1.20250401440302
"Germany",1984,1.423,14.627,76.355,8.058,31752.84,2.826,2.396,-0.888,"Advanced Economies",1.60789835755165,2.78364073883825,3.37718277574072,1.76193782375283
"Greece",1984,-4.411,40.061,9.872,8.1,22945.54,2.007,18.456,-1.723,"Advanced Economies",3.60926984197563,2.78880004092018,4.38370621118169,1.44676159480175
"Hong Kong SAR, China",1984,6.842,110.361,5.431,3.875,20687.47,10.002,8.549,-1.374,"Advanced Economies",2.84236473429309,2.06394110932766,5.39692451669947,2.99842193803489
"Iceland",1984,-4.478,32.425,0.238,1.254,31135,4.129,29.17,-55.105,"Advanced Economies",4.06658164542776,1.05008935716135,4.17231460857871,2.1255339292314
"Ireland",1984,-5.163,38.479,3.556,7.069,21077.99,3.204,8.636,-1.761,"Advanced Economies",2.85242204580991,2.65383200145733,4.34342862239847,1.88105600551447
"Italy",1984,-0.914,90.919,56.565,7.833,30785.3,3.226,10.74,-3.96,"Advanced Economies",3.06928261915536,2.75554266714984,5.20314642283832,1.88759016593981
"Japan",1984,2.601,65.602,120.05,2.708,25263.38,4.411,2.251,0.37,"Advanced Economies",1.55056401998602,1.7218267521241,4.87681144938723,2.18985669967275
"Korea, Rep.",1984,-1.895,16.812,40.406,3.85,7539.15,10.552,2.274,-1.147,"Advanced Economies",1.55986210040842,2.05767519167325,3.51612343341776,3.05170035123084
"Luxembourg",1984,-15.381,14.335,0.366,1.748,48064.27,4.73,5.637,-3.032,"Advanced Economies",2.43027556101739,1.32490506137614,3.3570656567791,2.25806383961855
"Malta",1984,-9.174,86.595,0.329,12.5,15968.97,33.002,-0.443,0.482,"Advanced Economies",-0.429657879090206,3.22047199846445,5.15442259521251,4.18994480784497
"Netherlands",1984,4.475,62.005,14.395,8.09,31120.2,3.118,3.4,0.5,"Advanced Economies",1.9378792776645,2.78757402961811,4.82042722710496,1.85511524636843
"New Zealand",1984,-8.836,144.706,3.211,7.186,26722.51,6.858,6.129,-1.316,"Advanced Economies",2.51276850806848,2.67008842489102,5.66786321719606,2.62383665767316
"Norway",1984,5.057,35.212,4.146,3.147,37047.18,6.052,6.218,-2.247,"Advanced Economies",2.52699970653577,1.86393458934871,4.25473568481499,2.50029275520542
"Portugal",1984,-2.401,36.235,9.996,10.503,17025.2,-1.042,29.3,4.194,"Advanced Economies",4.07102577844443,3.04706672423763,4.28336303601035,-0.910762453122601
"Puerto Rico",1984,-5.747,61.754,3.317,20.7,17142.05,7.318,1.734,1.396,"Advanced Economies",1.31793208204134,3.72386381506933,4.81637148045643,2.6881201549111
"Singapore",1984,-2.058,56.139,2.732,6.135,27726.05,8.792,2.604,1.567,"Advanced Economies",1.68517809889846,2.51373422449753,4.7210572543932,2.87020800300927
"Spain",1984,1.21,37.075,38.55,19.937,21434.8,1.698,11.28,-0.894,"Advanced Economies",3.1181374766864,3.68635284605294,4.30627189594629,1.29980594322005
"Sweden",1984,0.67,4.08,8.343,4.233,30682.8,4.347,8.021,-0.885999999999999,"Advanced Economies",2.77907364978202,2.14972710479016,2.11393497330317,2.17560806982456
"Switzerland",1984,5.602,34.764,6.428,1.138,49314.6,3.067,2.937,-0.0130000000000003,"Advanced Economies",1.79833357503858,0.97566855807159,4.24193634688491,1.83942344697578
"Taiwan, China",1984,11.429,70.787,19.069,2.45,10444.18,10.049,-0.031,-1.401,"Advanced Economies",-0.0309950369792922,1.62849981928419,4.95287243708658,3.00308684330502
"United Kingdom",1984,-0.284,42.212,56.409,11.75,25753.89,2.22,4.448,-0.75,"Advanced Economies",2.19800476813623,3.15880629659934,4.43599199523565,1.53790551685289
