"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Bangladesh",1981,-1.777,123.672,81.768,13.2,1711.69,3.802,14.935,7.243,"Emerging Asia",3.397973556303,3.27479573454477,5.51079642531674,2.04553706623714
"Bhutan",1981,3.389,108.23,0.419,23.762,1658.79,13.589,4.967,-7.537,"Emerging Asia",2.30594588765655,3.86167731857968,5.37742711465438,3.3037589141822
"China",1981,-4.33,79.942,1000.72,3.6,698.221,5.1,2.5,0.0230000000000001,"Emerging Asia",1.6472311463711,1.99283576493974,5.07448766920124,2.33186371852127
"Fiji",1981,-13.496,33.607,0.649,14.418,7813.63,6.004,11.2,-3.264,"Emerging Asia",3.11104801182267,3.3628250671405,4.2081028362109,2.49243723541067
"India",1981,-1.639,53.493,712.869,15.253,1371.21,6.007,12.654,1.308,"Emerging Asia",3.23267820023582,3.41899621471879,4.67278534006642,2.49292999289033
"Indonesia",1981,-0.541,48.755,150.406,13.8,3009.62,7.604,12.244,-5.773,"Emerging Asia",3.1998466513552,3.31912594469396,4.58006009263548,2.72611753237668
"Kiribati",1981,25.756,0,0.06,5.928,2465.75,6.122,7.7,-8.4,"Emerging Asia",2.73855765013714,2.47987348971519,0,2.511640674339
"Lao PDR",1981,-4.934,14.531,3.335,11.669,1694.74,15.332,33.7,-155.116,"Emerging Asia",4.210865075761,3.15191389779004,3.3706133742972,3.42415114747283
"Malaysia",1981,-9.037,87.585,14.229,10.143,7834.3,6.942,9.7,2.976,"Emerging Asia",2.96791956894967,3.01235218804156,5.16578951908385,2.63588484099014
"Maldives",1981,-6.215,104.646,0.158,11.37,5385.44,7.886,11.1,-16.777,"Emerging Asia",3.10211519705688,3.12605373623932,5.34375323470574,2.76223219345673
"Mongolia",1981,-4.474,66.887,0.359,5.427,26159.64,8.376,6.722,1.664,"Emerging Asia",2.60402032373934,2.39291588632222,4.89620768427054,2.82206217384048
"Nepal",1981,-3.934,106.799,15.994,10.76,1289.19,8.341,13.447,3.647,"Emerging Asia",3.29328293149173,3.07113508705688,5.36411766126363,2.81790446354463
"Papua New Guinea",1981,-10.222,40.615,3.04,15.712,2686.59,1.149,8.054,-4.01,"Emerging Asia",2.78314799620554,3.44858308858321,4.39743615651349,0.98290981260564
"Philippines",1981,-5.06,68.943,49.089,10.755,4644.47,3.423,13.083,-5.118,"Emerging Asia",3.26591824841531,3.07067229031645,4.9264798494938,1.94434897980952
"Samoa",1981,-13.889,95.617,15.981,4.064,4351.19,-9.056,20.51,-12.54,"Emerging Asia",3.71465352759426,2.11011907839847,5.2535251524418,-2.89960922339256
"Solomon Islands",1981,-10.862,30.873,0.238,13.623,2332.45,-1.797,13.144,4.894,"Emerging Asia",3.27055648497219,3.30625109094695,4.123291383316,-1.34898288305361
"Sri Lanka",1981,-12.437,7.87,15.763,9.014,2863.26,5.345,17.969,-8.176,"Emerging Asia",3.58256860337857,2.89498884064655,2.76021738756556,2.3779467817056
"Thailand",1981,-7.142,79.94,48.326,3.918,4064.33,5.91,12.7,-7,"Emerging Asia",3.23629558572279,2.07463034251835,5.07446265270736,2.47687492656759
