"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Albania",1981,-0.455,58.184,2.726,4.224,5757.84,5.7,2.763,-3.437,"Emerging Europe",1.74071099586782,2.1476558228609,4.75683142223389,2.44122070725561
"Algeria",1981,-0.435,51.625,19.246,15.385,10207.63,3,14.61,4.942,"MENA & Central Asia",3.376022576975,3.4275947171113,4.63724702232582,1.81844645923207
"Angola",1981,-2.947,35.347,8.495,11.65,3254.27,-4.4,1.391,-45.317,"Sub-Saharan Africa",1.13273974513729,3.15029028566651,4.25856073802094,-2.18742176068697
"Antigua and Barbuda",1981,-1.873,48.916,0.068,7.3,8408.2,3.815,11.465,-7.534,"Latin America & Caribbean",3.13434261219406,2.68568016777615,4.58335618671255,2.04883857468988
"Argentina",1981,-3.014,99.071,28.45,5,16941.52,-5.744,19.221,14.658,"Latin America & Caribbean",3.64982661339705,2.31243834127275,5.28900941544778,-2.44879555413162
"Australia",1981,-4.056,70.164,15.039,5.783,26963.35,4.127,9.488,-0.648,"Advanced Economies",2.9459406197996,2.45546268936377,4.94403331785231,2.1250630526256
"Austria",1981,-4.338,28.367,7.556,2.2,31302.06,-0.099,6.807,0.482,"Advanced Economies",2.61645098516846,1.5296604950904,4.03868421352506,-0.098838992609087
"Bahamas, The",1981,-3.05,43.186,0.215,3.874,32095.22,-2.9,11.046,-1.185,"Latin America & Caribbean",3.09725822656069,2.06369120107478,4.45879756832639,-1.7863401998169
"Bahrain",1981,10.591,0.517,0.367,5.873,44474.09,2.777,11.4,7.6,"MENA & Central Asia",3.12867867763828,2.47068323216621,0.496365160994556,1.74546485756373
"Bangladesh",1981,-1.777,123.672,81.768,13.2,1711.69,3.802,14.935,7.243,"Emerging Asia",3.397973556303,3.27479573454477,5.51079642531674,2.04553706623714
"Barbados",1981,-11.255,67.902,0.253,10.76,13070.78,-1.9,14.589,-3.909,"Latin America & Caribbean",3.37458753371404,3.07113508705688,4.91126688728034,-1.39799836511143
"Belgium",1981,-4.094,89.686,9.863,10,29428.68,-0.279,7.626,0.970000000000001,"Advanced Economies",2.7289819761786,2.99822295029797,5.18949294087981,-0.275501602448516
"Belize",1981,-2.025,77.28,0.15,15.8,3878.93,0.214,11.224,4.173,"Latin America & Caribbean",3.11318011279655,3.45415706167911,5.04062422846807,0.212399380652345
"Benin",1981,-16.923,69.008,3.88,13.75,2450.19,1.929,0.795,-8.801,"Sub-Saharan Africa",0.728759148928538,3.31550570363074,4.92742211413467,1.41142484480046
