"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Antigua and Barbuda",1981,-1.873,48.916,0.068,7.3,8408.2,3.815,11.465,-7.534,"Latin America & Caribbean",3.13434261219406,2.68568016777615,4.58335618671255,2.04883857468988
"Argentina",1981,-3.014,99.071,28.45,5,16941.52,-5.744,19.221,14.658,"Latin America & Caribbean",3.64982661339705,2.31243834127275,5.28900941544778,-2.44879555413162
"Bahamas, The",1981,-3.05,43.186,0.215,3.874,32095.22,-2.9,11.046,-1.185,"Latin America & Caribbean",3.09725822656069,2.06369120107478,4.45879756832639,-1.7863401998169
"Barbados",1981,-11.255,67.902,0.253,10.76,13070.78,-1.9,14.589,-3.909,"Latin America & Caribbean",3.37458753371404,3.07113508705688,4.91126688728034,-1.39799836511143
"Belize",1981,-2.025,77.28,0.15,15.8,3878.93,0.214,11.224,4.173,"Latin America & Caribbean",3.11318011279655,3.45415706167911,5.04062422846807,0.212399380652345
"Bolivia",1981,-8.102,129.762,5.587,9,5585.8,0.3,32.134,-14.925,"Latin America & Caribbean",4.16330386102248,2.89344398588587,5.55886403076119,0.295673047563422
"Chile",1981,-13.769,39.343,11.36,10.291,8928.3,6.212,19.687,-15.451,"Latin America & Caribbean",3.67375010829583,3.0267692055637,4.36562672185909,2.52604655943447
"Colombia",1981,-3.399,138.841,28.255,6.561,7191.81,2.277,27.393,1.461,"Latin America & Caribbean",4.00376768659254,2.5800479042806,5.62648954275244,1.56106908256221
"Costa Rica",1981,-15.932,75.069,2.372,8.766,9773.99,-2.26,36.806,18.685,"Latin America & Caribbean",4.29899255006332,2.86726541658871,5.01159923098323,-1.55421182170858
"Dominica",1981,-7.103,44.418,0.074,6.23,5075.81,10.829,13.267,-10.588,"Latin America & Caribbean",3.27984426023204,2.52890331403832,4.48691866241527,3.07749999861822
"Dominican Republic",1981,-4.015,4.667,5.781,6.072,6314.59,4.279,7.523,-14.141,"Latin America & Caribbean",2.71550050028412,2.50354800475994,2.24494887798612,2.16024892809833
"Ecuador",1981,-6.048,73.157,8.261,13.5,7835.18,3.9,16.387,3.338,"Latin America & Caribbean",3.49056520232479,3.29720579417523,4.98580170593031,2.07016923992771
"El Salvador",1981,-3.545,41.139,4.903,2.6,5291.02,-5.725,14.818,-2.541,"Latin America & Caribbean",3.39012647179851,1.68374314399774,4.41025144222922,-2.44553152902121
"Grenada",1981,-17.312,46.508,0.091,8.5,6040.48,1.375,18.787,-3.034,"Latin America & Caribbean",3.62701988334485,2.83665572896893,4.53288708186302,1.12336467624978
"Guatemala",1981,-6.793,30.487,7.394,6.34,6510.96,0.644,11.4,0.733000000000001,"Latin America & Caribbean",3.12867867763828,2.5461882994694,4.11071640954929,0.606186758281464
"Guyana",1981,-29.473,106.349,0.765,5.1,6590,0.562,22.235,8.147,"Latin America & Caribbean",3.79532008971662,2.33186371852127,5.35989542263208,0.535968341820251
"Haiti",1981,-3.569,110.804,6.054,3.1,4161.48,1.056,10.858,-8.221,"Latin America & Caribbean",3.0801631128512,1.84960367947318,5.40093041709045,0.920422470170235
"Honduras",1981,-7.49,10.659,3.79,7.018,3895.03,-1.222,9.406,-8.668,"Latin America & Caribbean",2.93730878772583,2.6466631433582,3.06174498635762,-1.02998135744219
"Jamaica",1981,-15.407,7.894,2.15,25.941,8162.55,4.42,9.172,-8.812,"Latin America & Caribbean",2.91226113300673,3.94934320899209,2.76323808822257,2.19184463065673
"Mexico",1981,-5.877,14.856,69.715,0.9,17712.22,9.586,28.034,1.563,"Latin America & Caribbean",4.02688319266464,0.808866935652782,3.3926818403623,2.95616044834179
"Nicaragua",1981,-27.434,23.964,0.366,11.8,5118.31,5.361,23.8,-11.335,"Latin America & Caribbean",3.86327382234669,3.16303735678811,3.87013493358102,2.38088493315568
"Panama",1981,-11.113,49.796,2.03,9.184,12506.61,9.207,7.3,-6.508,"Latin America & Caribbean",2.68568016777615,2.91356091519361,4.60118264585681,2.91604747965839
"Paraguay",1981,-7.156,41.139,3.245,6.569,8876.15,9.17,13.793,-8.742,"Latin America & Caribbean",3.31861989718432,2.58125259221067,4.41025144222922,2.91204433926483
"Peru",1981,-9.673,67.429,17.987,6.8,7649.97,5.461,75.433,16.288,"Latin America & Caribbean",5.01643595838286,2.61543304000393,4.90427735376411,2.39905854145694
"St. Kitts and Nevis",1981,-14.415,66.829,0.043,20.6,7421.46,2.702,8.559,-10.773,"Latin America & Caribbean",2.84352587065767,3.7190268588813,4.89534027099141,1.71974625377591
"St. Lucia",1981,-2.635,60.5,0.126,12.926,6082.22,5.105,15.125,-4.242,"Latin America & Caribbean",3.41058721895503,3.2538808962452,4.79585883994573,2.3328253369613
"St. Vincent and the Grenadines",1981,-1.776,32.015,0.099,13.8,4951.2,3.88,17.45,0.242999999999999,"Latin America & Caribbean",3.55330683128148,3.31912594469396,4.15959554624352,2.06518974428283
"Suriname",1981,-1.913,129.02,10.142,8.427,21502.8,1.9,8.678,-5.473,"Latin America & Caribbean",2.85724157243815,2.82808998773684,5.5531296298041,1.39799836511143
"Trinidad and Tobago",1981,5.829,37.286,1.102,11.575,15775.28,4.577,14.332,-3.138,"Latin America & Caribbean",3.35685686440586,3.14385552091372,4.31194487746389,2.22591659731123
"Uruguay",1981,20.785,46.3,2.959,7.599,12365.98,1.899,34.046,-29.429,"Latin America & Caribbean",4.22107534118866,2.72546538631405,4.52840574259645,1.39753252267776
"Venezuela, RB",1981,5.661,11.256,15.41,16.3,19334.15,-1.288,16.244,-5.111,"Latin America & Caribbean",3.48181689181832,3.48525190928865,3.11601588888265,-1.0711132568162
"Antigua and Barbuda",1982,1.488,70.392,0.067,5,8498.52,-0.085,4.17,-7.295,"Latin America & Caribbean",2.13513970396137,2.31243834127275,4.94727725082926,-0.0848979771881697
"Argentina",1982,-3.095,112.757,28.93,4.5,16135.87,-3.149,3.3,-15.921,"Latin America & Caribbean",1.90927401401634,2.20934770861533,5.41840190383794,-1.86454009687067
"Bahamas, The",1982,-2.151,50.196,0.22,3.325,33338.29,6.3,6.101,-4.945,"Latin America & Caribbean",2.50824962145289,1.9164991563077,4.60918172863012,2.53993693665066
"Barbados",1982,-3.554,69.008,0.254,13.65,12393.05,-4.9,10.287,-4.302,"Latin America & Caribbean",3.02638226411177,3.30822576931999,4.92742211413467,-2.29263575204241
"Belize",1982,-7.504,46.555,0.153,17.863,3520.45,-7.551,6.839,-4.385,"Latin America & Caribbean",2.62109143701468,3.57666128180013,4.53389691722509,-2.7191832369356
"Chile",1982,-8.989,79.979,11.545,19.814,7591.1,-13.588,9.941,-9.746,"Latin America & Caribbean",2.99233501699164,3.68017212092262,5.07495036149954,-3.3036855210126
"Colombia",1982,-5.318,21.62,28.875,7.1,7104.12,0.948,24.86,-2.533,"Latin America & Caribbean",3.90681153932577,2.65816480695414,3.76730041003903,0.844121973911045
"Costa Rica",1982,-9.164,38.958,2.443,9.405,8798.19,-7.285,90.271,53.465,"Latin America & Caribbean",5.19599411543704,2.93720306283939,4.35579600276994,-2.68364232968651
"Dominica",1982,-3.754,43.714,0.074,9.5,5304.41,4.128,4.415,-8.852,"Latin America & Caribbean",2.19074070042246,2.94719762257003,4.4709463992826,2.12529851786499
"Dominican Republic",1982,-4.842,24.575,5.916,16.247,6275.55,1.7,7.643,0.12,"Latin America & Caribbean",2.73118985136849,3.48200120947482,3.89529054462278,1.30082042684065
"Ecuador",1982,-7.175,39.41,8.495,15,7710.35,1.2,16.258,-0.129000000000001,"Latin America & Caribbean",3.48267675092108,3.40230664548059,4.36732769631765,1.01597313417969
"El Salvador",1982,-1.493,59.275,4.942,7.534,4918.76,-6.306,11.703,-3.115,"Latin America & Caribbean",3.15481276976941,2.71694889351747,4.77540595851924,-2.54087710528338
"Grenada",1982,2.413,54.187,0.093,4.7,6118.28,4.107,7.813,-10.974,"Latin America & Caribbean",2.75300673649831,2.2518395970316,4.68567334013158,2.12034239753205
"Guatemala",1982,-4.674,70.317,7.582,13.1,6124.62,-3.542,4.898,-6.502,"Latin America & Caribbean",2.29223575364538,3.26721302923313,4.94621132850568,-1.97719520482365
"Guyana",1982,-26.108,349.877,0.765,7.9,6008.3,-8.884,20.607,-1.628,"Latin America & Caribbean",3.71936620752075,2.76399185110002,6.55073088695171,-2.88055168747844
"Haiti",1982,-2.459,198.807,6.163,5.1,3973.79,-2.797,7.359,-3.499,"Latin America & Caribbean",2.69365598100077,2.33186371852127,5.9854880106051,-1.75221941224127
"Honduras",1982,-5.206,33.356,3.908,6.667,3699.53,-2.075,9.023,-0.383000000000001,"Latin America & Caribbean",2.89598071045648,2.59589473475839,4.20060946540301,-1.47668204406489
"Jamaica",1982,-16.661,77.856,2.186,27.577,8273.22,3.08,6.83,-2.342,"Latin America & Caribbean",2.61978846201033,4.01045784557173,5.04804938814023,1.8434456175213
"Mexico",1982,-0.791,35.784,71.37,4.2,17293.15,-0.05,59.115,31.081,"Latin America & Caribbean",4.77270341148865,2.14211190823691,4.27084322658967,-0.0499791900693487
"Nicaragua",1982,-20.58,50.176,3.017,12.4,2965.99,-0.817,28.5,4.7,"Latin America & Caribbean",4.04335891284379,3.21246561256992,4.60878329020026,-0.745888053150892
"Panama",1982,-3.649,45.217,2.078,10.981,12867.69,5.348,4.251,-3.049,"Latin America & Caribbean",2.15385718426719,3.0913805407659,4.50474255513752,2.37849833187392
