"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Algeria",1981,-0.435,51.625,19.246,15.385,10207.63,3,14.61,4.942,"MENA & Central Asia",3.376022576975,3.4275947171113,4.63724702232582,1.81844645923207
"Bahrain",1981,10.591,0.517,0.367,5.873,44474.09,2.777,11.4,7.6,"MENA & Central Asia",3.12867867763828,2.47068323216621,0.496365160994556,1.74546485756373
"Egypt, Arab Rep.",1981,-4.332,57.203,41.706,7.15,5314.08,2.198,10.4,-10.1,"MENA & Central Asia",3.03725640436464,2.66511426553083,4.73982991795852,1.52883257729198
"Iran, Islamic Rep.",1981,-4.264,48.549,40.826,24.9,9776.88,-5.697,24.199,3.572,"MENA & Central Asia",3.87988513611588,3.90841795967311,4.57582682768285,-2.44070217643004
"Jordan",1981,-0.881,172.951,2.307,9.2,11582.49,14.973,7.65,-3.259,"MENA & Central Asia",2.73209757342645,2.91529134965747,5.84616385567572,3.4005090210159
"Lebanon",1981,-19.414,52.401,2.594,7.018,18771.96,0.55,19.3,-4.6,"MENA & Central Asia",3.65392276075254,2.6466631433582,4.65216388924034,0.525480447978513
"Libya",1981,-11.414,57.737,3.126,4.99,59118.27,-20.04,13.194,-1.092,"MENA & Central Asia",3.27434238541483,2.31047529181677,4.74912038283519,-3.69149938378611
"Morocco",1981,-5.877,44.859,19.938,17.15,3476.07,-2.765,12.493,3.085,"MENA & Central Asia",3.21991362654435,3.53599425847531,4.49679562878912,-1.74139142167751
"Oman",1981,15.562,22.985,1.47,6.425,18743,17.096,6.4,-3.611,"MENA & Central Asia",2.55549355317483,2.55934563531957,3.82846188110094,3.53284596723076
"Pakistan",1981,-1.86,70.164,82.991,10,2409.85,6.208,11.949,0.0220000000000002,"MENA & Central Asia",3.17554115510144,2.99822295029797,4.94403331785231,2.52541062936615
"Qatar",1981,111.52,0,0.265,2,124882.64,-3.894,8.46,1.622,"MENA & Central Asia",2.83197119892336,1.44363547517881,0,-2.06867791119475
"Saudi Arabia",1981,21.503,33.446,8.841,2.65,94358.38,1.943,3.589,-0.813,"MENA & Central Asia",1.98988749912671,1.70154329100884,4.20330279031348,1.41784978828818
"Sudan",1981,-20.994,42.033,19.24,22.328,2988.11,6.32,24.019,-2.512,"MENA & Central Asia",3.87242542434794,3.79948976470762,4.43174367550291,2.54306744296896
"Syrian Arab Republic",1981,-2.8,79.08,9.444,13.9,6162.34,8.463,18.4,-0.932000000000002,"MENA & Central Asia",3.60623545016493,3.32632744540109,5.06364715314202,2.83232329563987
"Tunisia",1981,-8.86,84.364,6.633,11,5263.94,5.522,8.903,-1.108,"MENA & Central Asia",2.8826747013969,3.09310219505083,5.12832307478893,2.40998700513804
"United Arab Emirates",1981,23.166,48.57,1.1,2.575,166860,8.024,7.946,-2.12,"MENA & Central Asia",2.76975204916964,1.67473088521381,4.57625919516735,2.77944472637108
"Algeria",1982,-0.897,55.151,19.864,15,10523.02,6.4,6.593,-8.017,"MENA & Central Asia",2.5848580712294,3.40230664548059,4.70330424102568,2.55549355317483
"Bahrain",1982,9.981,8.426,0.38,3,45665.91,6.406,8.7,-2.7,"MENA & Central Asia",2.85975690734739,1.81844645923207,2.82797214143667,2.55641939087434
"Egypt, Arab Rep.",1982,-6.836,71.054,42.846,15.789,5550.11,7.296,14.9,4.5,"MENA & Central Asia",3.39563257159034,3.4534620083739,4.95663684620502,2.68513714644575
"Iran, Islamic Rep.",1982,3.906,0,42.42,3.675,11589.8,23.171,18.681,-5.518,"MENA & Central Asia",3.62136975047589,2.01271731095166,0,3.83651399262173
"Jordan",1982,-7.059,21.525,2.406,6.8,11751.66,5.846,7.614,-0.0360000000000005,"MENA & Central Asia",2.72742056086733,2.61543304000393,3.76290137200322,2.46614099639527
"Kuwait",1982,22.578,59.34,0.508,7.867,50545.05,-9.504,13.241,-2.144,"MENA & Central Asia",3.27788814738774,2.75983916272056,4.77650178566821,-2.94761627454265
"Lebanon",1982,37.814,36.376,2.606,13.8,11812.03,-36.789,18.6,-0.699999999999999,"MENA & Central Asia",3.61703060614339,3.31912594469396,4.28724527756408,-4.298530732648
"Libya",1982,-4.56,61.157,3.273,5.633,57312.16,1.518,13.804,0.609999999999999,"MENA & Central Asia",3.31941500006499,2.42957663215697,4.8066583437762,1.20470652449211
"Morocco",1982,-4.991,21.231,20.459,23.7,3713.45,9.619,10.528,-1.965,"MENA & Central Asia",3.04943349022944,3.85906701721049,3.74916372205078,2.95957857181499
"Oman",1982,5.417,63.226,1.47,3.608,20898.6,11.501,2.538,-3.862,"MENA & Central Asia",1.6612522657204,1.99497471012931,4.8399253223167,3.13746586319499
"Pakistan",1982,-0.749,54.01,85.445,9.675,2517.62,7.562,5.862,-6.087,"MENA & Central Asia",2.46883514604572,2.9653525626081,4.68240208628712,2.72062635580442
"Qatar",1982,87.06,3.602,0.285,1.7,106442.19,-8.21,5.7,-2.76,"MENA & Central Asia",2.44122070725561,1.30082042684065,1.99337091467311,-2.80218861093047
"Saudi Arabia",1982,4.944,96.137,9.283,8.425,71233.11,-20.73,1.866,-1.723,"MENA & Central Asia",1.38205113636042,2.82785428134393,5.2589484864253,-3.72531035671608
"Sudan",1982,-23.16,35.053,19.8,22.219,3023.43,4.127,26.608,2.589,"MENA & Central Asia",3.97471203061708,3.79460097187833,4.25021178527818,2.1250630526256
"Syrian Arab Republic",1982,-1.446,58.292,9.758,6.554,23754.71,2.583,14.274,-4.126,"MENA & Central Asia",3.35281164038488,2.57899262414834,4.75868560872825,1.6776230583611
"Tunisia",1982,-10.667,47.712,6.795,12,5114.03,-0.482,13.673,4.77,"MENA & Central Asia",3.30990484078219,3.17978543769988,4.55843992189675,-0.465054462496415
"United Arab Emirates",1982,16.202,98.518,1.17,1.9,145599.83,-7.188,7.083,-0.863,"MENA & Central Asia",2.65579105449567,1.39799836511143,5.28341220996854,-2.67036404986494
