"country","year","current_account_balance_pct_gdp","govt_gross_debt_pct_gdp","population_millions","unemployment_rate_pct","gdp_per_capita_ppp","gdp_growth_pct","inflation_avg_cpi_pct","inflation_change_pct","region","ihs_inflation","ihs_unemployment","ihs_debt","ihs_gdp_growth"
"Angola",1981,-2.947,35.347,8.495,11.65,3254.27,-4.4,1.391,-45.317,"Sub-Saharan Africa",1.13273974513729,3.15029028566651,4.25856073802094,-2.18742176068697
"Benin",1981,-16.923,69.008,3.88,13.75,2450.19,1.929,0.795,-8.801,"Sub-Saharan Africa",0.728759148928538,3.31550570363074,4.92742211413467,1.41142484480046
"Botswana",1981,-29.293,28.03,0.981,14.945,5360.24,8.154,16.3,4.173,"Sub-Saharan Africa",3.48525190928865,3.39864140598755,4.02674058931012,2.7953948460487
"Burkina Faso",1981,-2.028,22.138,7.212,8.694,948.496,2.661,7.556,-4.703,"Sub-Saharan Africa",2.71983945600993,2.85907153003058,3.79095248894923,1.70541988097943
"Burundi",1981,-6.807,56.732,4.21,6.557,993.03,12.164,12.167,10.967,"Sub-Saharan Africa",3.19355906705533,2.57944502187151,4.73156327240121,3.19331329697507
"Cabo Verde",1981,-15.345,31.62,0.294,21.861,2197.6,8.452,20.68,5.609,"Sub-Saharan Africa",3.72289829152838,3.77837411627032,4.14718696251812,2.8310316720074
"Cameroon",1981,-4.804,37.232,9.064,10.35,3748.13,17.051,7.546,-0.135,"Sub-Saharan Africa",2.71852659068717,3.03245934936335,4.31049608466887,3.5302148114626
"Central African Republic",1981,-0.562,80.695,2.348,11.4,1379.28,12.954,14.66,1.36,"Sub-Saharan Africa",3.37943109987261,3.12867867763828,5.08386218636911,3.25603829756941
"Chad",1981,1.97,65.39,4.613,7.703,1073.03,-10.805,8.128,-0.507,"Sub-Saharan Africa",2.79222495739998,2.73894394188116,4.87357498488431,-3.07529068875505
"Comoros",1981,-3.856,22.919,0.362,23.762,2730.22,5.462,6.5,-6.829,"Sub-Saharan Africa",2.5708146780957,3.86167731857968,3.82558903815833,2.39923864715419
"Congo, Dem. Rep.",1981,-0.883,79.562,25.953,2.5,2414.66,0.945,34.884,-5.155,"Sub-Saharan Africa",4.24538082980184,1.6472311463711,5.06972326392372,0.841943171229762
"Congo, Rep.",1981,-25.953,59.755,1.76,8.5,3981.66,2.613,0.782,-6.514,"Sub-Saharan Africa",0.718550834020993,2.83665572896893,4.78347005759352,1.68839973591937
"Cote d'Ivoire",1981,-12.271,33.227,8.043,23.152,6361.64,3.498,8.682,-0.128,"Sub-Saharan Africa",2.85769937381482,3.83569442925432,4.19673634450603,1.96517088420912
"Equatorial Guinea",1981,-5.055,221.068,0.27,13.743,840.552,5.769,16.7,15.374,"Sub-Saharan Africa",3.50945110782093,3.31499782515158,6.0916226425204,2.45307439472279
"Eswatini",1981,-10.182,90.602,0.587,12,4017.6,6.902,20.056,1.856,"Sub-Saharan Africa",3.69229647743953,3.17978543769988,5.19965392243843,2.63016552388693
"Ethiopia",1981,-2.571,132.157,33.227,17.85,891.412,6.945,1.937,-10.5,"Sub-Saharan Africa",1.41510073097352,3.57593439450832,5.57715210396537,2.6363124874736
"Gabon",1981,15.581,20.612,0.765,4.667,18409.57,-4,8.6,-3.721,"Sub-Saharan Africa",2.848272578259,2.24494887798612,3.71960852900367,-2.0947125472611
"Gambia, The",1981,-5.978,96.526,0.638,8.6,2251.66,-9.523,7.92,2.901,"Sub-Saharan Africa",2.76650033086783,2.848272578259,5.26298641348478,-2.94960249447866
"Guinea",1981,-3.086,60.301,9.499,19.089,1311.52,0.61,35,-4.985,"Sub-Saharan Africa",4.24869926123636,3.64294480675006,4.79256461370759,0.57738089164915
"Guinea-Bissau",1981,-10.401,39.942,0.798,8.2,1716.28,-0.498,41.94,-22.822,"Sub-Saharan Africa",4.42952930489148,2.80097879391921,4.38073224969758,-0.479422255518619
"Kenya",1981,-4.433,17.753,16.308,8.808,3610.49,4.1,11.603,-2.255,"Sub-Saharan Africa",3.14626266142912,2.87201455849991,3.57049397933487,2.11868503933338
"Lesotho",1981,-12.028,71.885,1.315,13.623,1174.59,3.079,12.214,-7.415,"Sub-Saharan Africa",3.1974016261662,3.30625109094695,4.96826317665557,1.84313676540863
"Madagascar",1981,-7.623,32.95,8.911,13.75,2067.47,-9.8,30.457,12.179,"Sub-Saharan Africa",4.10973242880935,3.31550570363074,4.18836862767321,-2.97812254262788
"Malawi",1981,-4.817,13.546,6.748,10.05,1007.56,-5.245,12,-7.19,"Sub-Saharan Africa",3.17978543769988,3.00318586172399,3.30059814688982,-2.35938858553773
"Mali",1981,-8.437,51.331,7.533,14.065,1290.76,-4.542,12.717,-7.533,"Sub-Saharan Africa",3.23762915113197,3.33809798177627,4.63153690651126,-2.21841850317724
"Mauritius",1981,-12.452,38.894,0.98,7,5225.96,5.882,26.45,-6.59,"Sub-Saharan Africa",3.9687604932507,2.64412076105863,4.35415239936916,2.47219280228631
"Mozambique",1981,-11.356,43.189,11.913,12.5,524.4,5,4.2,2.2,"Sub-Saharan Africa",2.14211190823691,3.22047199846445,4.45886701425644,2.31243834127275
"Niger",1981,-5.94,116.751,5.991,19.721,1509.52,-0.178,24.3,16.975,"Sub-Saharan Africa",3.88404663948197,3.6754734287529,5.45320898269997,-0.177073195651408
"Rwanda",1981,-4.235,66.22,5.288,24.425,1038.57,2.472,6.438,-0.757000000000001,"Sub-Saharan Africa",2.56134293865132,3.88917317016613,4.88618671919764,1.63678170658419
"Sao Tome and Principe",1981,-23.59,219.102,0.09,13.623,3416.54,-10.314,11.483,11.267,"Sub-Saharan Africa",3.13590545243363,3.30625109094695,6.08268976304736,-3.0289912315743
"Senegal",1981,-11.48,105.23,5.803,5.25,2623.43,5.07,5.779,-3.058,"Sub-Saharan Africa",2.45478089278054,2.36032457624344,5.34931818726924,2.32607487472368
"Seychelles",1981,-12.211,12.288,0.064,10,9960.69,-3.877,10.512,-3.004,"Sub-Saharan Africa",3.04791940253908,2.99822295029797,3.20342194466883,-2.06444074448682
"Sierra Leone",1981,-7.225,114.362,3.634,7.4,2196.61,1.878,23.369,10.502,"Sub-Saharan Africa",3.8450150073605,2.69916160639756,5.43253515104329,1.38770524715193
"South Africa",1981,-5.521,47.598,29.83,9.824,12599.7,5.361,15.348,1.112,"Sub-Saharan Africa",3.42519196315139,2.98055592336078,4.55604825337313,2.38088493315568
"Tanzania",1981,-3.126,61.614,18.601,4.6,1239.01,0.5,25.7,-4.5,"Sub-Saharan Africa",3.94001646460664,2.23081417900093,4.81410214535458,0.481211825059603
"Togo",1981,-2.666,40.833,2.916,17.6,2143.44,-3.419,19.716,7.396,"Sub-Saharan Africa",3.67522018521614,3.5618521837404,4.40278766484025,-1.94322669583162
"Zambia",1981,-19.809,40.833,5.733,20.5,3248.78,6.631,13.997,2.268,"Sub-Saharan Africa",3.33326382294621,3.71416642057212,4.40278766484025,2.59054059025754
"Angola",1982,-7.958,49.87,8.72,7.9,3170.4,5.919,1.833,0.442,"Sub-Saharan Africa",1.36635557864806,2.76399185110002,4.6026673069994,2.47837531635879
"Benin",1982,-20.877,39.486,3.999,14.065,2417.14,1.682,4.059,3.264,"Sub-Saharan Africa",2.10892370559938,3.33809798177627,4.36925366508419,1.29165801289197
"Botswana",1982,-13.222,96.28,1.017,11.6,5989.9,15.874,11.2,-5.1,"Sub-Saharan Africa",3.11104801182267,3.14600502946999,5.26043476157031,3.45882038497394
"Burkina Faso",1982,-4.762,45.463,7.391,18.3,938.518,1.4,12.058,4.502,"Sub-Saharan Africa",3.18459055233265,3.60079391964775,4.5101669219492,1.13798204629337
"Burundi",1982,-12.195,14.237,4.334,11.9,954.59,-1.054,5.868,-6.299,"Sub-Saharan Africa",2.46984361037888,3.17144633596124,3.35022251195038,-0.919046599230541
"Cabo Verde",1982,-8.469,83.487,0.299,22.229,2218.8,2.825,21.127,0.446999999999999,"Sub-Saharan Africa",3.744258652313,3.79505048106362,5.11787397734203,1.76160418351674
"Cameroon",1982,-4.012,8.116,9.319,12.725,3921.26,7.563,15.326,7.78,"Sub-Saharan Africa",3.42376056272875,3.23825609838425,2.79075856136929,2.72075744610956
"Central African Republic",1982,-5.929,38.402,2.407,8.415,1297.31,-3.572,13.243,-1.417,"Sub-Saharan Africa",3.27803875314358,2.8266749211186,4.34142620348054,-1.98531455510785
"Chad",1982,1.611,248.396,4.718,20.863,1105.48,5.376,6.429,-1.699,"Sub-Saharan Africa",2.55996061013853,3.73169830454831,6.20817547923165,2.3836317640906
"Comoros",1982,-5.459,124.956,0.371,16,2773.5,4.058,15.211,8.711,"Sub-Saharan Africa",3.41624478313005,3.46671103788472,5.52112486678113,2.10868446445455
"Congo, Dem. Rep.",1982,-0.8,18.948,26.81,10.35,2326.9,-0.454,37.069,2.185,"Sub-Saharan Africa",4.30611010757968,3.03245934936335,3.63554116647203,-0.439694620812651
"Congo, Rep.",1982,-21.422,19.11,1.814,15.8,3955.52,2.41,3.454,2.672,"Sub-Saharan Africa",1.95300592141543,3.45415706167911,3.64404280813905,1.61327725351344
"Cote d'Ivoire",1982,-9.846,94.725,8.355,9.237,6136.68,0.2,7.389,-1.293,"Sub-Saharan Africa",2.69768743326965,2.91928161425718,5.24415299820357,0.198690110349241
"Equatorial Guinea",1982,-33.112,260.667,0.291,13.623,798.301,2.202,38.256,21.556,"Sub-Saharan Africa",4.33761836837781,3.30625109094695,6.25639459051128,1.53048778935002
"Eswatini",1982,-15.946,39.667,0.608,20.66,3936.7,1.439,10.807,-9.249,"Sub-Saharan Africa",3.07547498366072,3.72193183594079,4.37382563489029,1.16044317338068
"Ethiopia",1982,-3.738,70.86,34.175,6.864,875.006,0.961,7.774,5.837,"Sub-Saharan Africa",2.74804324891445,2.62470202245015,4.95390306577319,0.853525824380766
"Gabon",1982,13.324,94.471,0.781,16.5,18751.88,4.1,16.7,8.1,"Sub-Saharan Africa",3.50945110782093,3.49742457284713,5.24146810040591,2.11868503933338
"Gambia, The",1982,-1.162,0.942,0.662,2.9,2622.08,20.759,8.235,0.315,"Sub-Saharan Africa",2.80520681210785,1.7863401998169,0.839761103125364,3.7267066963996
"Ghana",1982,-0.269,138.926,11.226,15.4,2195.01,-8.303,22.485,-94.019,"Sub-Saharan Africa",3.80648972066587,3.42856716771906,5.6271015506538,-2.8133708594549
"Guinea",1982,-3.651,30.559,3.276,14.019,1280.8,1.8,29.915,-5.085,"Sub-Saharan Africa",4.09178644897977,3.33483036773831,4.11307402260774,1.35044074027497
"Guinea-Bissau",1982,-18.884,129.762,0.815,1.716,1751.58,4.2,16.542,-25.398,"Sub-Saharan Africa",3.49996214890958,1.30890449602244,5.55886403076119,2.14211190823691
"Kenya",1982,-2.504,93.148,16.9,5.9,3659.94,5.052,20.667,9.064,"Sub-Saharan Africa",3.72227020152919,2.47520521940257,5.22736561868163,2.32258572086203
